Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Faroe Islands,2002,47348,1.49,0.67,34.0,15.0,8.2,0.0
Fiji,2002,816577,0.75,1.6,44.7,21.9,-8.6,-6981.0
Finland,2002,5192708,0.22,0.12,17.1,10.7,1.0,5222.0
France,2002,61993642,0.57,0.41,96.8,12.9,1.6,98558.0
French Polynesia,2002,244184,1.66,1.49,63.8,19.5,1.7,0.0
Gabon,2002,1254964,2.22,2.23,4.9,32.8,-0.1,0.0
"Gambia, The",2002,1394302,2.45,3.41,137.8,43.5,-9.5,-13307.0
Gaza Strip,2002,1198617,3.02,3.76,0.0,41.9,-7.4,-8824.0
Georgia,2002,4774895,-0.49,0.09,68.5,11.2,-5.8,-27825.0
Germany,2002,82458415,0.12,-0.15,236.5,8.7,2.7,219288.0
Ghana,2002,20032559,2.61,2.36,88.0,33.7,2.5,50787.0
Gibraltar,2002,28201,0.31,0.46,0.0,13.2,-1.6,0.0
Greece,2002,11019745,-0.09,0.0,84.3,9.4,-0.8,-9176.0
Greenland,2002,57362,0.38,0.88,0.0,16.4,-5.0,0.0
Grenada,2002,102833,0.38,0.85,298.9,17.1,-4.6,0.0
Guam,2002,157352,0.45,1.63,289.2,20.5,-11.8,-1853.0
Guatemala,2002,11795111,2.37,2.61,110.1,32.3,-2.4,-28590.0
Guernsey,2002,62368,0.29,-0.02,799.6,9.1,3.1,0.0
Guinea,2002,7905703,2.7,2.65,32.2,40.8,0.5,3715.0
Guinea-Bissau,2002,1260360,2.2,2.77,44.8,42.2,-5.7,-7174.0
Guyana,2002,789098,-0.08,2.18,4.0,28.4,-22.6,-17802.0
Haiti,2002,8580463,1.8,2.12,311.3,31.7,-3.3,-28055.0
Honduras,2002,6698323,2.44,2.67,59.9,32.5,-2.3,-15090.0
Hong Kong,2002,6760298,0.48,0.29,0.0,8.3,1.8,12469.0
Hungary,2002,10112777,-0.19,-0.36,112.9,9.6,1.7,16762.0
Iceland,2002,287448,0.68,0.78,2.9,14.1,-1.0,0.0
India,2002,1085753922,1.64,1.67,365.2,24.9,-0.3,-281264.0
Indonesia,2002,220276026,1.39,1.55,121.6,21.8,-1.6,-342945.0
Iran,2002,67780924,0.37,1.25,44.3,18.1,-8.9,-600202.0
Iraq,2002,24309560,3.48,2.99,55.6,35.3,4.9,119284.0
Ireland,2002,3933126,1.74,0.78,57.1,15.4,9.5,37407.0
Isle of Man,2002,77190,1.01,0.03,134.9,11.7,9.7,0.0
Israel,2002,6367043,1.88,1.55,296.2,21.3,3.2,20527.0
Italy,2002,58076701,0.27,-0.03,197.4,9.3,3.0,173418.0
Jamaica,2002,2849475,0.09,1.48,263.1,21.7,-13.9,-39613.0
Japan,2002,127347157,0.11,0.15,349.4,9.4,-0.4,-50788.0
Jersey,2002,87970,0.22,0.1,758.4,10.6,1.1,0.0
Jordan,2002,5012128,2.3,2.65,56.4,30.9,-3.6,-18004.0
Kazakhstan,2002,15802134,0.46,0.6,5.9,15.8,-1.4,-22453.0
Kenya,2002,31174671,2.88,3.28,54.8,40.6,-4.0,-124105.0
Kiribati,2002,88467,1.67,1.97,109.1,28.2,-3.1,0.0
"Korea, North",2002,23204705,0.81,0.66,192.7,17.0,1.6,36116.0
"Korea, South",2002,47931505,0.48,0.52,494.5,10.3,-0.3,-16270.0
Kosovo,2002,1737479,0.61,1.37,159.6,20.8,-7.6,-13208.0
Kuwait,2002,2083269,2.69,1.88,116.9,20.9,8.1,16935.0
Kyrgyzstan,2002,5013957,0.76,1.31,26.1,20.6,-5.6,-27824.0
Laos,2002,5578027,1.06,2.28,24.2,33.5,-12.2,-68200.0
Latvia,2002,2330425,-0.93,-0.53,37.4,8.6,-4.0,-9195.0
Lebanon,2002,4375857,1.35,1.8,427.7,22.9,-4.5,-19546.0
Lesotho,2002,1909234,0.47,1.54,62.9,31.4,-10.7,-20444.0
Liberia,2002,2867580,1.78,2.75,29.8,42.9,-9.7,-27675.0
Libya,2002,5303093,0.0,0.0,3.0,0.0,0.0,0.0
Liechtenstein,2002,33821,1.0,0.53,211.4,11.7,4.7,0.0
Lithuania,2002,3453902,-0.7,-0.33,55.1,8.6,-3.6,-12528.0
Luxembourg,2002,448481,0.95,0.36,173.4,11.9,5.9,2649.0
Macau,2002,438977,0.96,0.4,0.0,7.2,5.6,2453.0
Madagascar,2002,16607515,2.86,2.86,28.6,37.6,0.0,0.0
Malawi,2002,11612362,3.08,3.36,123.4,43.8,-2.8,-32333.0
Malaysia,2002,24545674,2.38,1.54,74.7,19.7,8.4,205235.0
Maldives,2002,311847,1.89,1.42,0.0,18.1,4.7,1463.0
Mali,2002,11437860,2.75,3.39,9.4,49.8,-6.5,-73915.0
Malta,2002,399174,0.62,0.23,0.0,9.8,4.0,1584.0
Marshall Islands,2002,55146,2.3,2.93,304.7,34.5,-6.3,0.0
Mauritania,2002,2653201,2.62,3.32,2.6,41.9,-7.0,-18587.0
Mauritius,2002,1210667,0.91,0.96,596.4,16.1,-0.5,0.0
Mexico,2002,102470489,1.32,1.79,52.7,22.8,-4.7,-483550.0
"Micronesia, Federated States of",2002,108018,0.09,2.19,153.9,27.1,-21.0,-2267.0
Moldova,2002,4088890,-1.17,-0.18,124.3,10.2,-9.9,-40516.0
Monaco,2002,31654,-0.52,0.01,0.0,7.4,-5.3,0.0
Mongolia,2002,2518612,1.14,1.24,1.6,19.1,-1.0,-2500.0
Montenegro,2002,621991,-0.15,0.48,46.2,13.7,-6.3,-3889.0
Montserrat,2002,4810,-82.97,0.21,47.2,11.2,-831.8,-4001.0
Morocco,2002,29188575,1.21,1.59,40.7,23.1,-3.8,-111567.0
Mozambique,2002,19249717,2.03,2.52,24.5,43.9,-4.8,-93201.0
Namibia,2002,1964708,1.39,2.18,2.4,33.7,-7.9,-15466.0
Nauru,2002,9909,-0.23,1.99,471.9,27.1,-22.2,0.0
Nepal,2002,24272768,1.5,2.19,169.3,30.0,-6.9,-168487.0
Netherlands,2002,16145468,0.52,0.37,476.4,12.5,1.5,24332.0
New Caledonia,2002,219442,1.92,1.4,12.0,19.1,5.2,1132.0
New Zealand,2002,3898456,1.73,0.67,14.7,13.9,10.7,41592.0
Nicaragua,2002,5017710,1.61,2.12,41.8,26.1,-5.1,-25388.0
Niger,2002,11538649,3.65,3.8,9.1,57.1,-1.5,-16956.0
Nigeria,2002,132764563,2.82,2.84,145.8,44.4,-0.2,-24900.0
North Macedonia,2002,2038574,0.36,0.31,80.2,11.9,0.6,1115.0
Northern Mariana Islands,2002,69035,-0.7,1.79,146.3,20.5,-24.8,-1715.0
Norway,2002,4539603,0.62,0.24,14.9,12.2,3.8,17174.0
Oman,2002,2540520,2.08,2.07,8.2,24.5,0.1,0.0
Pakistan,2002,157385803,2.55,2.61,204.2,35.2,-0.7,-104851.0
Palau,2002,19816,0.69,0.48,43.2,13.1,2.1,0.0
Panama,2002,3030107,1.82,1.69,40.8,21.5,1.3,3940.0
Papua New Guinea,2002,5725378,2.7,2.7,12.6,33.7,0.0,0.0
Paraguay,2002,5625172,1.82,1.83,14.2,23.0,-0.1,0.0
Peru,2002,26624871,1.61,1.78,20.8,23.4,-1.7,-44967.0
Philippines,2002,80114579,2.06,2.32,268.7,28.6,-2.6,-210266.0
Poland,2002,38625974,-0.06,-0.02,127.0,9.2,-0.5,-17900.0
Portugal,2002,10490325,0.47,0.07,114.7,10.9,4.0,41798.0
Puerto Rico,2002,3823766,0.0,0.0,431.1,0.0,0.0,0.0
Qatar,2002,703382,4.54,1.54,60.7,17.3,30.1,21151.0
Romania,2002,21930795,-0.85,-0.27,95.4,9.6,-5.8,-126079.0
Russia,2002,146495996,-0.54,-0.62,8.9,9.5,0.8,118993.0
Rwanda,2002,8329232,1.62,2.74,337.7,39.9,-11.2,-93008.0
Saint Barthelemy,2002,7409,1.46,0.93,296.4,14.3,5.3,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2002,7339,0.71,0.71,18.6,13.2,0.0,0.0
Saint Kitts and Nevis,2002,46682,1.03,0.89,178.9,16.2,1.4,0.0
Saint Lucia,2002,155301,0.52,1.07,256.3,16.7,-5.5,0.0
Saint Martin,2002,27440,-0.75,1.37,508.1,17.3,-21.3,0.0
Saint Pierre and Miquelon,2002,6349,-0.58,0.36,26.2,10.4,-9.5,0.0
Saint Vincent and the Grenadines,2002,107262,-0.36,1.13,275.7,18.5,-14.9,-1597.0
Samoa,2002,179429,0.92,2.4,63.6,29.7,-14.8,-2653.0
San Marino,2002,28191,2.08,0.33,462.1,10.5,17.5,0.0
Sao Tome and Principe,2002,147127,2.26,3.4,152.6,44.6,-11.4,-1674.0
Saudi Arabia,2002,22342525,2.11,2.14,10.4,25.0,-0.4,-8273.0
Senegal,2002,9976692,2.71,3.05,51.8,40.9,-3.4,-34244.0
Serbia,2002,7530751,-0.46,-0.33,97.2,10.4,-1.3,-10000.0
Seychelles,2002,81125,1.14,1.03,178.3,18.3,1.1,0.0
Sierra Leone,2002,4726939,4.36,2.44,66.0,43.6,19.2,90869.0
Singapore,2002,4447987,2.75,0.96,0.0,13.2,17.9,79417.0
Sint Maarten,2002,30636,2.28,0.87,901.1,12.5,14.1,0.0
Slovakia,2002,5403354,0.01,-0.01,112.3,9.4,0.3,1342.0
Slovenia,2002,2014637,0.03,-0.06,100.0,8.7,0.9,1865.0
Solomon Islands,2002,456256,2.67,2.91,16.3,33.7,-2.4,-1087.0
Somalia,2002,9905583,3.28,3.63,15.8,52.0,-3.5,-34445.0
South Africa,2002,46342067,1.42,1.06,38.2,20.2,3.6,166670.0
South Sudan,2002,6897113,0.0,0.0,10.7,0.0,0.0,0.0
Spain,2002,41639614,1.68,0.12,83.4,10.1,15.6,647691.0
Sri Lanka,2002,19285932,1.19,1.34,298.4,19.3,-1.5,-29014.0
Sudan,2002,28920513,0.0,0.0,15.5,0.0,0.0,0.0
Suriname,2002,476840,1.29,1.74,3.1,23.9,-4.4,-2114.0
Sweden,2002,8977438,0.36,0.01,21.9,10.7,3.5,31078.0
Switzerland,2002,7343989,0.51,0.14,183.6,9.9,3.6,26489.0
Syria,2002,17266066,0.0,0.0,92.9,0.0,0.0,0.0
Taiwan,2002,22461928,0.51,0.53,696.3,11.0,-0.2,-3535.0
Tajikistan,2002,6355815,1.85,2.05,44.9,28.2,-2.0,-12484.0
Tanzania,2002,35208058,2.92,2.85,39.7,40.9,0.7,23199.0
Thailand,2002,62322676,0.92,0.79,122.0,14.4,1.3,80847.0
Timor-Leste,2002,900803,7.71,3.42,60.6,44.8,42.9,38677.0
Togo,2002,5023375,2.43,2.98,92.4,38.5,-5.6,-28056.0
Tonga,2002,101406,0.64,2.52,141.4,30.2,-18.7,-1900.0
Trinidad and Tobago,2002,1271609,0.42,0.58,248.0,13.4,-1.6,-1996.0
Tunisia,2002,9742979,1.0,1.09,62.7,16.7,-1.0,-9515.0
Turkey,2002,67807656,1.32,1.51,88.1,21.0,-1.9,-128149.0
Turkmenistan,2002,4502650,1.28,1.47,9.6,21.5,-1.9,-8608.0
Turks and Caicos Islands,2002,21406,6.65,1.98,22.6,22.7,46.7,1000.0
Tuvalu,2002,10040,-0.12,1.31,386.2,24.0,-14.2,0.0
Uganda,2002,24774685,3.52,3.66,125.7,50.7,-1.4,-35293.0
Ukraine,2002,48074073,-0.82,-0.74,83.0,8.1,-0.7,-33791.0
United Arab Emirates,2002,3555027,4.06,1.47,42.5,16.3,25.9,92078.0
United Kingdom,2002,59601520,0.36,0.1,246.4,11.2,2.6,153000.0
United States,2002,287625193,0.0,0.0,31.4,0.0,0.0,0.0
Uruguay,2002,3306750,-0.35,0.62,18.9,15.7,-9.7,-31962.0
Uzbekistan,2002,25696312,1.22,1.54,60.4,21.0,-3.2,-83332.0
Vanuatu,2002,201709,2.6,2.8,16.5,33.6,-2.0,0.0
Venezuela,2002,25074549,1.71,1.87,28.4,23.6,-1.6,-40481.0
Vietnam,2002,81617017,1.36,1.41,263.2,19.7,-0.5,-38000.0
"Virgin Islands, British",2002,23830,2.61,0.65,157.8,10.6,19.7,0.0
"Virgin Islands, U.S.",2002,108509,0.05,0.94,311.8,15.1,-8.8,0.0
Wallis and Futuna,2002,14857,0.62,1.31,104.6,17.6,-6.9,0.0
West Bank,2002,2035991,2.2,2.81,361.0,32.4,-6.0,-12271.0
Yemen,2002,19462120,2.62,3.14,36.9,40.0,-5.2,-100349.0
Zambia,2002,10808931,2.52,2.86,14.5,44.3,-3.4,-37062.0
Zimbabwe,2002,12703243,1.51,1.74,32.8,32.9,-2.3,-29369.0
Afghanistan,2003,26829863,5.11,3.71,41.1,47.3,14.0,374242.0
Albania,2003,3063109,-1.04,0.95,111.8,15.5,-19.9,-60906.0
Algeria,2003,31973294,1.44,1.57,13.4,20.3,-1.2,-38836.0
American Samoa,2003,57424,-0.21,2.35,290.0,28.0,-25.7,-1474.0
Andorra,2003,68782,6.93,0.55,147.0,10.5,63.8,4385.0
Angola,2003,16247119,4.98,3.08,13.0,47.2,19.0,308458.0
Anguilla,2003,12447,2.68,0.92,136.8,13.7,17.7,0.0
Antigua and Barbuda,2003,79067,1.45,1.19,178.5,18.2,2.6,0.0
Argentina,2003,38529402,1.03,1.1,14.1,18.5,-0.7,-25000.0
Armenia,2003,3088906,-0.07,0.53,109.5,13.8,-6.0,-18483.0
Aruba,2003,93707,2.1,0.53,520.6,13.0,15.7,1471.0
Australia,2003,19549075,1.2,0.61,2.5,12.9,6.0,116498.0
Austria,2003,8215680,0.48,0.0,99.7,9.4,4.9,39873.0
Azerbaijan,2003,8662911,0.76,0.77,104.8,15.0,-0.2,-1300.0
"Bahamas, The",2003,304801,2.27,1.22,30.4,17.6,10.6,3222.0
Bahrain,2003,781007,8.54,1.63,0.0,19.2,69.1,53944.0
Bangladesh,2003,134865589,1.44,1.92,0.0,24.9,-4.8,-645454.0
Barbados,2003,279428,0.56,0.59,649.8,13.5,-0.3,0.0
Belarus,2003,9904905,-0.5,-0.55,48.8,8.9,0.5,5160.0
Belgium,2003,10368850,0.38,0.07,342.5,11.0,3.2,32668.0
Belize,2003,273234,2.64,2.22,12.0,26.6,4.2,1151.0
Benin,2003,7359515,3.12,3.06,66.5,42.7,0.6,4246.0
Bermuda,2003,64847,0.88,0.63,0.0,12.9,2.5,0.0
Bhutan,2003,687892,1.59,1.59,17.9,24.2,0.0,0.0
Bolivia,2003,8710725,2.1,2.23,8.0,29.6,-1.3,-11540.0
Bosnia and Herzegovina,2003,3842733,1.04,0.09,75.1,9.2,9.5,36616.0
Botswana,2003,1750323,1.77,1.41,3.1,28.9,3.6,6246.0
Brazil,2003,183412348,1.3,1.3,21.9,19.4,0.0,-2555.0
Brunei,2003,347233,2.06,1.76,66.0,20.9,3.0,1044.0
Bulgaria,2003,7722735,-0.78,-0.58,71.2,8.8,-2.0,-15631.0
Burkina Faso,2003,12857170,2.66,3.23,47.0,45.8,-5.7,-73146.0
Burma,2003,48259332,1.06,1.33,73.8,22.2,-2.7,-130404.0
Burundi,2003,6896661,3.76,3.26,268.6,43.9,5.0,34600.0
Cabo Verde,2003,454813,1.77,1.84,112.8,25.6,-0.8,0.0
Cambodia,2003,13031669,1.51,1.86,73.8,27.3,-3.5,-45100.0
Cameroon,2003,17205073,2.72,2.83,36.4,41.5,-1.1,-18509.0
Canada,2003,31889307,0.78,0.34,3.5,10.5,4.4,138685.0
Cayman Islands,2003,41923,2.8,0.87,158.8,13.3,19.3,0.0
Central African Republic,2003,4182328,1.88,2.19,6.7,39.2,-3.1,-13068.0
Chad,2003,9096185,4.76,3.61,7.2,51.8,11.6,105182.0
Chile,2003,15660161,0.96,0.96,21.1,15.0,0.0,0.0
China,2003,1285229464,0.48,0.51,137.8,11.6,-0.2,-294999.0
Colombia,2003,41528292,1.18,1.49,40.0,20.3,-3.1,-128635.0
Comoros,2003,591731,2.74,3.07,264.8,40.4,-3.3,-1975.0
Congo (Brazzaville),2003,3437760,2.3,2.84,10.1,36.8,-5.5,-18755.0
Congo (Kinshasa),2003,58013244,2.89,3.11,25.6,44.2,-2.1,-124200.0
Cook Islands,2003,14563,-3.61,1.37,61.7,20.1,-49.9,0.0
Costa Rica,2003,4082847,1.55,1.36,80.0,17.9,1.8,7500.0
Croatia,2003,4440867,-0.02,-0.29,79.3,8.9,2.7,11921.0
Cuba,2003,11233328,0.23,0.51,102.3,12.2,-2.9,-31984.0
Curaçao,2003,133208,1.11,0.58,300.0,14.5,5.3,0.0
Cyprus,2003,964653,2.17,0.44,104.4,11.2,17.4,16765.0
Czechia,2003,10238459,0.08,-0.17,132.5,9.2,2.5,25789.0
Côte d’Ivoire,2003,17531846,2.93,2.76,55.1,40.6,1.7,28904.0
Denmark,2003,5387248,0.25,0.13,127.0,12.0,1.2,6288.0
Djibouti,2003,688210,-10.5,2.25,29.7,31.8,-127.5,-87735.0
Dominica,2003,71905,0.25,0.82,95.7,16.3,-5.7,0.0
Dominican Republic,2003,8606840,1.45,1.79,178.1,24.4,-3.5,-29893.0
Ecuador,2003,13048727,1.61,2.14,52.5,26.3,-5.3,-68677.0
Egypt,2003,69838271,2.09,2.13,70.2,26.9,-0.5,-31264.0
El Salvador,2003,5884558,0.29,1.68,284.0,23.1,-13.9,-82000.0
Equatorial Guinea,2003,673295,5.55,2.99,24.0,41.6,25.7,17279.0
Eritrea,2003,4342220,5.59,3.07,43.0,40.2,25.2,109354.0
Estonia,2003,1349483,-0.74,-0.37,31.8,9.7,-3.7,-4927.0
Eswatini,2003,1026257,-0.16,1.95,59.7,34.7,-21.1,-21684.0
Ethiopia,2003,67980692,2.68,2.73,62.0,38.8,-0.5,-35764.0
Faroe Islands,2003,47953,1.05,0.62,34.4,14.6,4.3,0.0
Fiji,2003,823078,0.84,1.68,45.0,22.6,-8.4,-6915.0
Finland,2003,5205082,0.26,0.15,17.1,10.9,1.1,5755.0
France,2003,62341637,0.55,0.39,97.3,12.9,1.6,98829.0
French Polynesia,2003,247753,1.24,1.36,64.7,18.2,-1.2,0.0
Gabon,2003,1283233,2.24,2.24,5.0,32.6,0.0,0.0
"Gambia, The",2003,1429853,2.58,3.4,141.3,43.1,-8.2,-11656.0
Gaza Strip,2003,1234166,2.83,3.78,0.0,42.0,-9.5,-11765.0
Georgia,2003,4750669,-0.52,0.06,68.2,10.9,-5.8,-27500.0
Germany,2003,82504552,-0.01,-0.18,236.6,8.6,1.7,142645.0
Ghana,2003,20556598,2.56,2.36,90.3,33.6,2.0,40459.0
Gibraltar,2003,28315,0.49,0.44,0.0,12.6,0.6,0.0
Greece,2003,11009594,-0.1,-0.01,84.3,9.5,-0.9,-9672.0
Greenland,2003,57540,0.24,0.84,0.0,15.6,-6.0,0.0
Grenada,2003,103317,0.56,1.01,300.3,17.9,-4.5,0.0
Guam,2003,158062,0.45,1.62,290.6,20.8,-11.7,-1853.0
Guatemala,2003,12082214,2.44,2.56,112.8,31.7,-1.2,-14668.0
Guernsey,2003,62597,0.45,0.14,802.5,10.8,3.0,0.0
Guinea,2003,8120753,2.67,2.65,33.0,40.3,0.3,2157.0
Guinea-Bissau,2003,1288431,2.21,2.79,45.8,42.1,-5.9,-7569.0
Guyana,2003,790492,0.43,1.97,4.0,26.3,-15.4,-12198.0
Haiti,2003,8738605,1.86,2.08,317.1,31.1,-2.3,-19889.0
Honduras,2003,6862655,2.4,2.6,61.3,31.6,-1.9,-13103.0
Hong Kong,2003,6796891,0.6,0.23,0.0,7.8,3.8,25570.0
Hungary,2003,10091987,-0.22,-0.41,112.6,9.4,1.9,18862.0
Iceland,2003,289516,0.75,0.8,2.9,14.3,-0.5,0.0
India,2003,1103497631,1.6,1.63,371.1,24.3,-0.3,-280569.0
Indonesia,2003,223347625,1.38,1.51,123.3,21.4,-1.3,-298000.0
Iran,2003,68916732,0.68,1.2,45.0,18.0,-5.2,-356980.0
Iraq,2003,25079249,2.77,2.91,57.3,35.1,-1.4,-35497.0
Ireland,2003,4002170,1.75,0.81,58.1,15.4,9.4,37407.0
Isle of Man,2003,77958,0.97,0.01,136.3,11.0,9.6,0.0
Israel,2003,6489498,1.93,1.62,301.9,21.7,3.2,20455.0
Italy,2003,58336020,0.62,-0.08,198.3,9.3,7.0,407521.0
Jamaica,2003,2851638,0.06,1.44,263.3,21.3,-13.8,-39221.0
Japan,2003,127523693,0.17,0.11,349.9,9.1,0.5,67832.0
Jersey,2003,88087,0.05,0.28,759.4,11.4,-2.3,0.0
Jordan,2003,5127792,2.27,2.62,57.7,30.5,-3.5,-18004.0
Kazakhstan,2003,15882507,0.56,0.61,5.9,16.2,-0.5,-8306.0
Kenya,2003,32105147,3.0,3.3,56.4,40.7,-2.9,-93699.0
Kiribati,2003,89907,1.56,1.87,110.9,27.0,-3.1,0.0
"Korea, North",2003,23374333,0.65,0.63,194.1,16.4,0.2,3474.0
"Korea, South",2003,48150044,0.43,0.51,496.8,10.3,-0.9,-42415.0
Kosovo,2003,1747527,0.54,1.13,160.5,18.3,-5.9,-10318.0
Kuwait,2003,2139782,2.66,1.9,120.1,21.1,7.6,16272.0
Kyrgyzstan,2003,5059344,1.04,1.38,26.4,21.3,-3.3,-16726.0
Laos,2003,5654002,1.64,2.19,24.5,32.0,-5.5,-30800.0
Latvia,2003,2308159,-0.99,-0.49,37.1,9.2,-5.0,-11584.0
Lebanon,2003,4446543,1.85,1.77,434.7,22.5,0.8,3680.0
Lesotho,2003,1917409,0.39,1.43,63.2,31.3,-10.4,-19939.0
Liberia,2003,2880479,-0.88,2.85,29.9,43.0,-37.3,-107375.0
Libya,2003,5420940,0.0,0.0,3.1,0.0,0.0,0.0
Liechtenstein,2003,34206,1.26,0.38,213.8,10.1,8.8,0.0
Lithuania,2003,3424735,-1.0,-0.32,54.6,8.8,-6.8,-23261.0
Luxembourg,2003,453937,1.47,0.28,175.5,11.7,11.9,5412.0
Macau,2003,444177,1.4,0.39,0.0,7.2,10.1,4462.0
Madagascar,2003,17089669,2.86,2.86,29.4,37.3,0.0,0.0
Malawi,2003,11979045,3.13,3.39,127.3,43.6,-2.6,-30536.0
Malaysia,2003,25124156,2.28,1.47,76.4,19.1,8.2,205235.0
Maldives,2003,318485,2.32,1.35,0.0,17.4,9.7,3101.0
Mali,2003,11761326,2.83,3.41,9.6,49.3,-5.8,-68363.0
Malta,2003,401653,0.62,0.22,0.0,10.1,3.9,1584.0
Marshall Islands,2003,56426,2.29,2.91,311.7,34.2,-6.2,0.0
Mauritania,2003,2724008,2.65,3.31,2.6,41.5,-6.6,-18091.0
Mauritius,2003,1221981,0.95,0.91,602.0,15.7,0.4,0.0
Mexico,2003,103843015,1.34,1.75,53.4,22.4,-4.0,-417776.0
"Micronesia, Federated States of",2003,108086,0.04,2.14,154.0,26.5,-21.0,-2270.0
Moldova,2003,4040951,-1.19,-0.19,122.9,10.5,-10.0,-40516.0
Monaco,2003,31459,-0.71,-0.18,0.0,7.5,-5.3,0.0
Mongolia,2003,2546571,1.07,1.17,1.6,18.3,-1.0,-2500.0
Montenegro,2003,620914,-0.2,0.43,46.2,13.4,-6.3,-3889.0
Montserrat,2003,4491,74.68,-0.33,44.0,8.9,750.2,3369.0
Morocco,2003,29543837,1.21,1.59,41.2,23.0,-3.8,-110786.0
Mozambique,2003,19648943,2.07,2.54,25.0,43.6,-4.7,-92601.0
Namibia,2003,1991705,1.34,2.11,2.4,33.3,-7.8,-15466.0
Nauru,2003,9917,0.4,2.02,472.2,27.1,-16.1,0.0
Nepal,2003,24644751,1.55,2.12,171.9,29.1,-5.8,-142067.0
Netherlands,2003,16216610,0.36,0.36,478.5,12.4,0.0,0.0
New Caledonia,2003,223688,1.92,1.33,12.2,18.3,5.8,1305.0
New Zealand,2003,3960281,1.42,0.71,15.0,14.2,7.1,27978.0
Nicaragua,2003,5097281,1.54,2.03,42.5,25.2,-5.0,-25388.0
Niger,2003,11971585,3.71,3.85,9.5,56.7,-1.3,-16037.0
Nigeria,2003,136587691,2.86,2.88,150.0,44.4,-0.2,-28800.0
North Macedonia,2003,2045571,0.32,0.27,80.4,11.5,0.5,1001.0
Northern Mariana Islands,2003,68590,-0.6,1.9,145.3,21.8,-25.0,-1715.0
Norway,2003,4566304,0.55,0.31,15.0,12.4,2.5,11285.0
Oman,2003,2592927,2.0,2.0,8.4,23.7,0.0,0.0
Pakistan,2003,161075633,2.09,2.61,209.0,34.8,-5.1,-825896.0
Palau,2003,19978,0.94,0.75,43.5,15.6,2.0,0.0
Panama,2003,3085588,1.81,1.64,41.5,21.2,1.7,5077.0
Papua New Guinea,2003,5880726,2.66,2.66,13.0,33.3,0.0,0.0
Paraguay,2003,5726527,1.75,1.76,14.4,22.3,-0.1,0.0
Peru,2003,27059492,1.63,1.79,21.1,23.4,-1.6,-42537.0
Philippines,2003,81833823,2.19,2.28,274.5,28.2,-0.9,-76017.0
Poland,2003,38599320,-0.08,-0.04,126.9,9.1,-0.4,-15513.0
Portugal,2003,10530793,0.3,0.06,115.1,10.7,2.4,24738.0
Puerto Rico,2003,3826193,0.0,0.0,431.4,0.0,0.0,0.0
Qatar,2003,735643,4.43,1.55,63.5,17.5,28.8,21151.0
Romania,2003,21748090,-0.83,-0.25,94.6,9.8,-5.8,-126079.0
Russia,2003,145703488,-0.55,-0.58,8.9,10.1,0.4,53637.0
Rwanda,2003,8477177,1.9,2.81,343.7,39.8,-9.1,-76891.0
Saint Barthelemy,2003,7500,0.96,0.87,300.0,13.9,0.9,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2003,7390,0.68,0.68,18.8,13.0,0.0,0.0
Saint Kitts and Nevis,2003,47137,0.91,0.78,180.6,15.7,1.3,0.0
Saint Lucia,2003,156013,0.39,0.92,257.4,15.9,-5.3,0.0
Saint Martin,2003,27353,0.12,1.38,506.5,17.3,-12.6,0.0
Saint Pierre and Miquelon,2003,6310,-0.65,0.3,26.1,10.1,-9.5,0.0
Saint Vincent and the Grenadines,2003,106878,-0.36,1.09,274.8,18.0,-14.5,-1546.0
Samoa,2003,181088,0.92,2.36,64.2,29.3,-14.4,-2598.0
San Marino,2003,28733,1.74,0.29,471.0,10.4,14.4,0.0
Sao Tome and Principe,2003,150498,2.27,3.38,156.1,44.2,-11.1,-1674.0
Saudi Arabia,2003,22801189,1.96,2.05,10.6,24.0,-0.9,-19916.0
Senegal,2003,10259110,2.87,3.1,53.3,40.8,-2.3,-23919.0
Serbia,2003,7496449,-0.45,-0.33,96.8,10.5,-1.2,-9000.0
Seychelles,2003,82049,1.12,1.01,180.3,18.3,1.1,0.0
Sierra Leone,2003,4930221,4.07,2.43,68.8,43.2,16.4,80652.0
Singapore,2003,4564951,2.45,0.86,0.0,12.1,15.9,72616.0
Sint Maarten,2003,31644,4.16,0.86,930.7,12.7,33.0,1044.0
Slovakia,2003,5403956,0.01,-0.01,112.3,9.6,0.2,1071.0
Slovenia,2003,2015611,0.06,-0.11,100.0,8.6,1.7,3412.0
Solomon Islands,2003,468478,2.62,2.85,16.7,33.1,-2.3,-1087.0
Somalia,2003,10235721,3.28,3.43,16.3,49.8,-1.5,-14974.0
South Africa,2003,46993775,1.37,1.04,38.7,20.3,3.4,157467.0
South Sudan,2003,7179281,0.0,0.0,11.1,0.0,0.0,0.0
Spain,2003,42321028,1.57,0.14,84.8,10.4,14.4,607854.0
Sri Lanka,2003,19513360,1.15,1.33,301.9,19.2,-1.8,-34409.0
Sudan,2003,29586089,0.0,0.0,15.9,0.0,0.0,0.0
Suriname,2003,482711,1.15,1.54,3.1,21.9,-3.9,-1859.0
Sweden,2003,9010864,0.39,0.07,22.0,11.0,3.2,28772.0
Switzerland,2003,7378643,0.44,0.12,184.5,9.7,3.2,23437.0
